Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Thương mại,21,TM28,Marketing số,A00; A01; D01; D07,26.9,
Đại Học Thương mại,22,TM29,Luật thương mại quốc tế,A00; A01; D01; D07,25.8,
Học viện Ngân hàng,1,7340120,Kinh doanh quốc tế,A01; D01; D07; D09,26.5,
Học viện Ngân hàng,2,7340101_AP,Quản trị kinh doanh (Chương trình Chất lượng cao),A00; A01; D01; D07,26.0,
Học viện Ngân hàng,3,7340101,Quản trị kinh doanh,A00; A01; D01; D07,26.0,
Học viện Ngân hàng,4,7340201_AP_TC,Tài chính (Chương trình Chất lượng cao),A00; A01; D01; D07,26.1,
Học viện Ngân hàng,5,7340201_AP_NH,Ngân hàng (Chương trình Chất lượng cao),A00; A01; D01; D07,25.8,
Học viện Ngân hàng,6,7340201_TC,Tài chính,A00; A01; D01; D07,26.1,
Học viện Ngân hàng,7,7340201_NH,Ngân hàng,A00; A01; D01; D07,25.8,
Học viện Ngân hàng,8,7340301_AP,Kế toán (Chương trình Chất lượng cao),A00; A01; D01; D07,25.8,
Học viện Ngân hàng,9,7340301_J,Kế toán (Định hướng Nhật Bản. HVNH cấp bằng),A00; A01; D01; D07,25.8,
Học viện Ngân hàng,10,7340301,Kế toán,A00; A01; D01; D07,25.8,
Học viện Ngân hàng,11,7380107_A,Luật kinh tế,A00; A01; D01; D07,25.8,
Học viện Ngân hàng,12,7380107_C,Luật kinh tế,C00; D14; D15,28.05,
Học viện Ngân hàng,13,7220201,Ngôn ngữ Anh,A01; D01; D07; D09,26.0,
Học viện Ngân hàng,14,7310101,Kinh tế,A01; D01; D07; D09,26.0,
Học viện Ngân hàng,15,7340405,Hệ thống thông tin quản lý,A00; A01; D01; D07,26.35,
Học viện Ngân hàng,16,7340405_J,Công nghệ thông tin (Định hướng Nhật Bản. HVNH cấp bằng),A00; A01; D01; D07,26.2,
Học viện Ngân hàng,17,7480201,Công nghệ thông tin,A00; A01; D01; D07,26.2,
Học viện Ngân hàng,18,7340101_IU,"Quản trị kinh doanh (Liên kết với Đại học CityU, Hoa Kỳ. Cấp song bằng HVNH và Đại học CityU)",A00; A01; D01; D07,24.0,
Học viện Ngân hàng,19,7340301_I,"Kế toán (Liên kết với Đại học Sunderland, Vương quốc Anh. Cấp song bằng HVNH và Đại học Sunderland)",A00; A01; D01; D07,24.0,
Đại học y Hà Nội,1,7720101,Y khoa,B00,28.15,
Đại học y Hà Nội,2,7720101_AP,Y khoa kết hợp chứng chỉ ngoại ngữ quốc tế,B00,26.25,
Đại học y Hà Nội,3,7720101YHT,Y khoa Phân hiệu Thanh Hóa,B00,26.8,
Đại học y Hà Nội,4,7720101YHT_AP,Y khoa Phân hiệu Thanh Hóa kết hợp chứng chỉ ngoại ngữ quốc tế,B00,24.1,
Đại học y Hà Nội,5,7720501,Răng Hàm Mặt,B00,27.7,
Đại học y Hà Nội,6,7720115,Y học cổ truyền,B00,25.25,
Đại học y Hà Nội,7,7720110,Y học dự phòng,B00,23.15,
Đại học y Hà Nội,8,7720701,Y tế công cộng,B00,21.5,
Đại học y Hà Nội,9,7720601,Kỹ thuật xét nghiệm Y học,B00,25.55,
Đại học y Hà Nội,10,7720301,Điều dưỡng,B00,24.7,
Đại học y Hà Nội,11,7720301YHT,Điều dưỡng Phân hiệu Thanh Hóa,B00,19.0,
Đại học y Hà Nội,12,7720401,Dinh dưỡng,B00,23.25,
Đại học y Hà Nội,13,7720699,Khúc xạ nhãn khoa,B00,25.8,
Học viện an ninh,1,7860100,Nghiệp vụ An ninh,A00,19.03,Điểm trúng tuyển nam; Địa bàn 1
Học viện an ninh,2,7860100,Nghiệp vụ An ninh,A01,19.62,Điểm trúng tuyển nam; Địa bàn 1
Học viện an ninh,3,7860100,Nghiệp vụ An ninh,C03,20.53,Điểm trúng tuyển nam; Địa bàn 1
Học viện an ninh,4,7860100,Nghiệp vụ An ninh,D01,20.33,Điểm trúng tuyển nam; Địa bàn 1
Học viện an ninh,5,7860100,Nghiệp vụ An ninh,A00,23.88,Điểm trúng tuyển nữ; Địa bàn 1
Học viện an ninh,6,7860100,Nghiệp vụ An ninh,A01,25.66,Điểm trúng tuyển nữ; Địa bàn 1
Học viện an ninh,7,7860100,Nghiệp vụ An ninh,C03,24.92,Điểm trúng tuyển nữ; Địa bàn 1
Học viện an ninh,8,7860100,Nghiệp vụ An ninh,D01,25.3,Điểm trúng tuyển nữ; Địa bàn 1
Học viện an ninh,9,7860100,Nghiệp vụ An ninh,A00,21.61,"Điểm trúng tuyển nam; Địa bàn 2; Tiêu chí phụ: Thí sinh có tổng điểm của 03 môn thuộc tổ hợp xét tuyển (chiếm tỷ lệ 40%) và điểm bài thi Bộ Công an (chiếm tỷ lệ 60%) được quy về thang điểm 30 làm tròn đến 02 chữ số thập phân (không tính điểm ưu tiên, điểm thưởng) đạt 21.11đ"
Học viện an ninh,10,7860100,Nghiệp vụ An ninh,A01,22.39,Điểm trúng tuyển nam; Địa bàn 2
Học viện an ninh,11,7860100,Nghiệp vụ An ninh,C03,21.84,Điểm trúng tuyển nam; Địa bàn 2
Học viện an ninh,12,7860100,Nghiệp vụ An ninh,D01,21.89,Điểm trúng tuyển nam; Địa bàn 2
Học viện an ninh,13,7860100,Nghiệp vụ An ninh,A00,24.69,Điểm trúng tuyển nữ; Địa bàn 2
Học viện an ninh,14,7860100,Nghiệp vụ An ninh,A01,23.16,Điểm trúng tuyển nữ; Địa bàn 2
Học viện an ninh,15,7860100,Nghiệp vụ An ninh,C03,24.56,Điểm trúng tuyển nữ; Địa bàn 2
Học viện an ninh,16,7860100,Nghiệp vụ An ninh,D01,22.44,Điểm trúng tuyển nữ; Địa bàn 2
Học viện an ninh,17,7860100,Nghiệp vụ An ninh,A00,20.06,Điểm trúng tuyển nam; Địa bàn 3
Học viện an ninh,18,7860100,Nghiệp vụ An ninh,A01,20.92,Điểm trúng tuyển nam; Địa bàn 3
Học viện an ninh,19,7860100,Nghiệp vụ An ninh,C03,21.63,Điểm trúng tuyển nam; Địa bàn 3
Học viện an ninh,20,7860100,Nghiệp vụ An ninh,D01,20.96,Điểm trúng tuyển nam; Địa bàn 3
Học viện an ninh,21,7860100,Nghiệp vụ An ninh,A00,22.13,Điểm trúng tuyển nữ; Địa bàn 3
Học viện an ninh,22,7860100,Nghiệp vụ An ninh,A01,24.94,Điểm trúng tuyển nữ; Địa bàn 3
Học viện an ninh,23,7860100,Nghiệp vụ An ninh,C03,25.3,Điểm trúng tuyển nữ; Địa bàn 3
Học viện an ninh,24,7860100,Nghiệp vụ An ninh,D01,24.64,Điểm trúng tuyển nữ; Địa bàn 3
Học viện an ninh,25,7860100,Nghiệp vụ An ninh,A00,19.12,Điểm trúng tuyển nam; Địa bàn 8
Học viện an ninh,26,7860100,Nghiệp vụ An ninh,A01,19.47,Điểm trúng tuyển nam; Địa bàn 8
Học viện an ninh,27,7860100,Nghiệp vụ An ninh,C03,20.24,Điểm trúng tuyển nam; Địa bàn 8
Học viện an ninh,28,7860100,Nghiệp vụ An ninh,D01,18.3,Điểm trúng tuyển nam; Địa bàn 8
Học viện an ninh,29,7480202,An toàn thông tin,A00,21.84,"Điểm trúng tuyển nam, Phía bắc"
Học viện an ninh,30,7480202,An toàn thông tin,A01,17.94,"Điểm trúng tuyển nam, Phía bắc"
Học viện an ninh,31,7480202,An toàn thông tin,A00,21.85,"Điểm trúng tuyển nữ, Phía bắc"
Học viện an ninh,32,7480202,An toàn thông tin,A01,23.26,"Điểm trúng tuyển nữ, Phía bắc"
Học viện an ninh,33,7480202,An toàn thông tin,A00,18.89,Điểm trúng tuyển nam; Phía Nam
Học viện an ninh,34,7480202,An toàn thông tin,A01,17.67,Điểm trúng tuyển nam; Phía Nam
